Trial ID,Range/Row,Plot ID,Location Code,Count,Planting Area,Research Station,Trial Info,Entry Number,ABBRC1,ABBRC2,ABBRC3,Material ID,Admin Code,Responsible Store,CGenes,Material Lot,Plot Barcode,Delay in Planting,Material Store,MINT Container ID,Container ALT ID
16DRGJFG652P11D,/,2003,P11D,,,PHGS,GJ FG    652,3,SS6412BtGt,,,16RC000789,MIXL:GO2000996,PHGS,Bt11;GA21B,,GO208280997,,,583EED53-3B94-4A94-8ED9-B9E87858B4BD,CNCHYNS945601
16DRGJFG652P11D,/,1003,P11D,,,PHGS,GJ FG    652,3,SS6412BtGt,,,16RC000789,MIXL:GO2000996,PHGS,Bt11;GA21B,,GO208281011,,,73B6C675-C75C-4AA9-AAE2-16F425A759AF,CNCHYNS945622
16DRGJFG652P13B,/,1003,P13B,,,PHBB,GJ FG    652,3,SS6412BtGt,,,16RC000789,MIXL:GO2000996,PHGS,Bt11;GA21B,,GO208281067,,,2884C549-F694-417E-9F86-5770A6F0EC09,CNCHYNS945640
16DRGJFG652P13B,/,2003,P13B,,,PHBB,GJ FG    652,3,SS6412BtGt,,,16RC000789,MIXL:GO2000996,PHGS,Bt11;GA21B,,GO208281053,,,62DAB682-C6DB-4F66-9731-BF550943E875,CNCHYNS945627
16DRGJFG652P10A,/,2007,P10A,,,PHGS,GJ FG    652,7,SS6505BtGT,,,16RC000790,MIXL:GO2000997,PHGS,Bt11;GA21B,,GO208281021,,,0ACB4B1E-E87F-44B3-9636-CFE1D516E8B3,CNCHYNS945587
16DRGJFG652P10A,/,1007,P10A,,,PHGS,GJ FG    652,7,SS6505BtGT,,,16RC000790,MIXL:GO2000997,PHGS,Bt11;GA21B,,GO208281035,,,10B5F6A5-35C7-4FB0-83FB-06E85501D579,CNCHYNS945652
16DRGJFG652P10C,/,1007,P10C,,,PHGS,GJ FG    652,7,SS6505BtGT,,,16RC000790,MIXL:GO2000997,PHGS,Bt11;GA21B,,GO208280979,,,740EE841-147C-4785-8D9D-8A660AF5A575,CNCHYNS945664
16DRGJFG652P10C,/,2007,P10C,,,PHGS,GJ FG    652,7,SS6505BtGT,,,16RC000790,MIXL:GO2000997,PHGS,Bt11;GA21B,,GO208280965,,,F2FE7370-242C-447B-A448-9DB06CBB78FB,CNCHYNS945550
16DRGJFG652P11D,/,1007,P11D,,,PHGS,GJ FG    652,7,SS6505BtGT,,,16RC000790,MIXL:GO2000997,PHGS,Bt11;GA21B,,GO208281007,,,7FABDE4B-D09D-4050-AEEC-D25FD7531BFE,CNCHYNS945654
16DRGJFG652P11D,/,2007,P11D,,,PHGS,GJ FG    652,7,SS6505BtGT,,,16RC000790,MIXL:GO2000997,PHGS,Bt11;GA21B,,GO208280993,,,0397C6CE-0D65-4D5F-A31C-655804BAD807,CNCHYNS945649
